page,clicks,impressions,ctr,position
https://rubbishremovalcornwall.co.uk/,9,1013,0.008884501480750246,43.42448173741362
https://rubbishremovalcornwall.co.uk/garden-rubbish-removal-bude/,6,162,0.037037037037037035,39.44444444444444
https://rubbishremovalcornwall.co.uk/broken-motorbike-removal-st-teath/,5,12,0.4166666666666667,8
https://rubbishremovalcornwall.co.uk/garden-rubbish-removal-penryn/,4,141,0.028368794326241134,21.97163120567376
https://rubbishremovalcornwall.co.uk/garden-rubbish-removal-st-austell/,4,152,0.02631578947368421,35.098684210526315
https://rubbishremovalcornwall.co.uk/reliable-man-van-solutions-camborne/,4,293,0.013651877133105802,51.334470989761094
https://rubbishremovalcornwall.co.uk/caravan-collection-service-bude/,3,42,0.07142857142857142,22
https://rubbishremovalcornwall.co.uk/caravan-collection-service-grampound/,3,16,0.1875,9.375
https://rubbishremovalcornwall.co.uk/caravan-collection-service-saltash/,3,41,0.07317073170731707,48.36585365853659
https://rubbishremovalcornwall.co.uk/recycling-reusing-policy/,3,20,0.15,5.2
https://rubbishremovalcornwall.co.uk/rubbish-removal-bodmin/,3,60,0.05,23.916666666666668
https://rubbishremovalcornwall.co.uk/rubbish-removal-truro/,3,249,0.012048192771084338,53.18875502008032
https://rubbishremovalcornwall.co.uk/shed-rubbish-clearance-st-ives/,3,99,0.030303030303030304,44.64646464646464
https://rubbishremovalcornwall.co.uk/attic-rubbish-clearance-honiton/,2,81,0.024691358024691357,43.01234567901235
https://rubbishremovalcornwall.co.uk/caravan-collection-service-lelant/,2,27,0.07407407407407407,7.666666666666667
https://rubbishremovalcornwall.co.uk/caravan-collection-service-pl24/,2,10,0.2,15
https://rubbishremovalcornwall.co.uk/caravan-collection-service-pl9/,2,175,0.011428571428571429,28.32
https://rubbishremovalcornwall.co.uk/caravan-collection-service-st-cleer/,2,17,0.11764705882352941,66.23529411764706
https://rubbishremovalcornwall.co.uk/garden-rubbish-removal-camelford/,2,17,0.11764705882352941,21.470588235294116
https://rubbishremovalcornwall.co.uk/garden-rubbish-removal-ponsanooth/,2,12,0.16666666666666666,19.666666666666668
https://rubbishremovalcornwall.co.uk/garden-rubbish-removal-redruth/,2,146,0.0136986301369863,40.64383561643836
https://rubbishremovalcornwall.co.uk/garden-rubbish-removal-st-columb-major/,2,38,0.05263157894736842,19.05263157894737
https://rubbishremovalcornwall.co.uk/garden-rubbish-removal-st-ives/,2,90,0.022222222222222223,47.455555555555556
https://rubbishremovalcornwall.co.uk/house-clean-rubbish-removal-camborne/,2,48,0.041666666666666664,49.145833333333336
https://rubbishremovalcornwall.co.uk/house-clearance-torpoint/,2,78,0.02564102564102564,27.333333333333332
